account,Revenue,Deals
Acme Corporation,101744.0,68
Betasoloin,97036.0,68
Betatech,107408.0,92
Bioholding,90991.0,94
Bioplex,67393.0,53
Blackzim,87715.0,83
Bluth Company,56903.0,59
Bubba Gump,89248.0,59
Cancity,118627.0,101
Cheers,198020.0,98
Codehow,140183.0,121
Condax,206410.0,170
Conecom,125310.0,97
Dalttechnology,77936.0,72
Domzoom,99639.0,83
Doncon,82118.0,59
Donquadtech,147976.0,91
Dontechi,128048.0,129
Donware,56637.0,57
Fasehatice,127009.0,85
Faxquote,113557.0,88
Finhigh,117255.0,102
Finjob,127569.0,89
Funholding,127050.0,109
Ganjaflex,123506.0,81
Gekko & Co,134731.0,88
Genco Pura Olive Oil Company,114352.0,94
Globex Corporation,115712.0,91
Gogozoom,85047.0,79
Golddex,51632.0,64
Goodsilron,182522.0,95
Green-Plus,99293.0,81
Groovestreet,106098.0,64
Hatfan,117942.0,87
Hottechi,194957.0,200
Initech,89792.0,70
Inity,141858.0,113
Isdom,164683.0,119
Iselectrics,72543.0,51
J-Texon,102610.0,77
Kan-code,341455.0,196
Kinnamplus,95060.0,73
Konex,269245.0,178
Konmatfix,72457.0,74
Labdrill,140086.0,81
Lexiqvolax,121418.0,75
Massive Dynamic,90110.0,62
Mathtouch,163339.0,88
Nam-zim,63103.0,61
Newex,82622.0,55
Ontomedia,110098.0,59
Opentech,78669.0,60
Plexzap,144976.0,82
Plusstrip,89208.0,56
Plussunin,155195.0,103
Rangreen,151777.0,109
Rantouch,84754.0,69
Ron-tech,125481.0,112
Rundofase,110512.0,104
Scotfind,162725.0,105
Scottech,82360.0,84
Silis,83816.0,72
Singletechno,163339.0,112
Sonron,103673.0,79
Stanredtax,142711.0,106
Statholdings,67080.0,71
Streethex,117463.0,109
Sumace,59905.0,52
Sunnamplex,106754.0,71
The New York Inquirer,76636.0,52
Toughzap,85902.0,72
Treequote,176751.0,116
Umbrella Corporation,152701.0,84
Vehement Capital Partners,111533.0,66
Warephase,170046.0,106
Xx-holding,169357.0,87
Xx-zobam,135346.0,94
Y-corporation,131427.0,92
Yearin,75424.0,62
Zathunicon,55616.0,59
Zencorporation,86690.0,58
Zoomit,76684.0,58
Zotware,138339.0,75
Zumgoity,78237.0,63
dambase,116394.0,92
